Designator,Footprint,Quantity,Value,LCSC Part #
B_LED1,0603,1,LED_0603_Blue,
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C5, C6, C7, C8, C9, SC1, USBI_C1",0805,50,0.1uF,
"C49, C50",0805,2,1u,
"C51, C52, C53",0805,3,4.7uF,
"C54, PC1, PC2",0805,3,0.1u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D5, D6, D7, D8, D9",D_SOD-123,48,D,
"ESD_D1, ESD_D2",SOT-23-6,2,USBLC6-2SC6,
F1,1206,1,750mA,C135341
G_LED1,0603,1,LED_0603_Green,
"J1, J4",USB_C_Receptacle_HRO_TYPE-C-31-M-23,2,USB_C_Receptacle_USB2.0_16P,
J3,JST_1x02_P2.0mm_Horizontal_SMD,1,JST_2mm_LiPo,
J5,PinHeader_01x05_P2.54mm_Vertical_THT_D1mm,1,DEV_HEADERS,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED5, LED6, LED7, LED8, LED9",LED_MX_6028R-ROT,48,MX_SK6812MINI-E,
OLED1,nice_view,1,nice!view,
Q1,SOT-23,1,2N7002,
"R1, R2, R5, R9",0805,4,10k,
R10,0805,1,806/820k,
R11,0805,1,2M,
R12,0805,1,470,
"R13, R14, USBR1, USBR2",0805,4,5.1k,
"R15, R17",0805,2,1k,
R3,0805,1,100k,
R4,0805,1,100R,
R6,0805,1,47k,
R7,0805,1,1.5k,
R8,0805,1,3.9k,
RESET_BTN1,Panasonic_EVQPUL_EVQPUC,1,SW_Push,C79175
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW43, SW44, SW45, SW5, SW6, SW7, SW8, SW9",SW_MX_HS_KS-2P02B01-01_1u,40,SW_Push,
"SW17, SW46",SW_MX_HS_KS-2P02B01-01_1.25u,2,SW_Push,
"SW25, SW41, SW42, SW47",SW_MX_HS_KS-2P02B01-01_1.5u,4,SW_Push,
"SW33, SW48",SW_MX_HS_KS-2P02B01-01_1.75u,2,SW_Push,
SW49,SW_MSK12C02-HB,1,SW_PWR,
U1,SOT-23-3,1,XC6206PxxxMR,
U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,
U3,nRF52840_holyiot_18010,1,nRF52840_holyiot_18010,
U4,SOT-23-5,1,SN74LV1T125DBV,
USB_C1,0805,1,0.1uF,C307331
