"No","Value","Quantity"
1,"0.1uF",52
2,"4.7uF",3
3,"1u",2
4,"10k",4
5,"5.1k",2
6,"1k",2
7,"100k",1
8,"100R",1
9,"47k",1
10,"1.5k",1
11,"3.9k",1
12,"806/820k",1
13,"2M",1
14,470,1
15,"D",48
16,"XC6206PxxxMR",1
17,"BQ24075RGT",1
18,"nRF52840_holyiot_18010",1
19,"SN74LV1T125DBV",1
20,"750mA",1
21,"SW_Push",40
22,"SW_Push",4
23,"SW_Push",2
24,"SW_Push",2
25,"SW_PWR",1
26,"MX_SK6812MINI-E",48
27,"USBLC6-2SC6",2
28,"0.1u",2
29,"5.1k",2
30,"LED_0603_Blue",1
31,"LED_0603_Green",1
32,"nice!view",1
33,"2N7002",1
34,"SW_Push",1
35,"USB_C_Receptacle_USB2.0_16P",2
36,"JST_2mm_LiPo",1
37,"DEV_HEADERS",1
